Name;Stars;Forks;Sizes;Rust
trifectatechfoundation/zlib-rs;Low;Low;Medium;High
cjdelisle/cjdns;Medium;High;Medium;Low
appsinacup/godot-rapier-physics;Low;Low;Medium;Medium
kubetail-org/kubetail;Medium;Medium;Medium;Low
KiwiTalk/KiwiTalk;Low;Medium;Small;Medium
memorysafety/rav1d;Low;Medium;Large;Low
jneem/nnnoiseless;Low;Low;Small;High
m-labs/artiq;Low;Medium;Medium;Low
cooklang/cookcli;Medium;Medium;Medium;Medium
neondatabase/appdotbuild-agent;Low;Medium;Medium;Low
tectonic-typesetting/tectonic;Medium;Medium;Large;Low
spieglt/FlyingCarpet;Medium;Medium;Small;Medium
stacked-git/stgit;Low;Medium;Medium;Medium
noahbald/oxvg;Low;Low;Medium;High
max-baz/wluma;Low;Low;Small;High
rustfs/rustfs;High;High;Large;High
ariebovenberg/whenever;Medium;Low;Medium;Medium
jely2002/youtube-dl-gui;High;High;Medium;Low
typedb/typedb;Medium;Medium;Large;High
intentee/paddler;Medium;Medium;Medium;Medium
SeaDve/Kooha;Medium;Medium;Small;High
brndnmtthws/dryoc;Low;Low;Medium;High
kkoomen/vim-doge;Low;Low;Small;Medium
fosskers/aura;Medium;Medium;Medium;Low
yuezk/GlobalProtect-openconnect;Medium;Medium;Small;High
oreboot/oreboot;Medium;Medium;Medium;High
nautechsystems/nautilus_trader;High;High;Large;Medium
gschup/ggrs;Low;Low;Small;High
eraserhd/parinfer-rust;Low;Low;Small;Medium
ixy-languages/ixy.rs;Low;Low;Small;High
BitBoxSwiss/bitbox02-firmware;Low;Medium;Large;Low
libjxl/jxl-rs;Low;Low;Medium;High
apache/arrow-rs;Medium;High;Large;High
numaproj/numaflow;Medium;Medium;Large;Medium
amir20/dtop;Low;Low;Small;High
NixOS/nixos-search;Low;Medium;Small;Low
OISF/suricata;Medium;High;Large;Low
pubky/pkarr;Low;Low;Small;High
