Project;n;Original project;Original language(s);Domain;Label correct;Match correct;Email?;SonarQube;RCA support;Same as original owner;Owner type;Archived;Original archived;Stars;Original stars;Forks;Original forks;Project size;Original project size;Rust percentage
trifectatechfoundation/zlib-rs;;madler/zlib;C;Non-web lib;y;n;y;y,y;y;FALSE;Organization;FALSE;FALSE;617;6790;41;2732;1369020;2111882;89,0
cjdelisle/cjdns;;Same;C;System;y;;y;y;y;TRUE;User;FALSE;;5377;;600;;3135547;;12,4
appsinacup/godot-rapier-physics;;Same;C,C++;Non-web lib;y;;y;y;y;TRUE;Organization;FALSE;;835;;55;;1323477;;70,8
kubetail-org/kubetail;;Same;Go;App;y;;y;y;y;TRUE;Organization;FALSE;;1640;;121;;1326636;;13,1
KiwiTalk/KiwiTalk;;Same;TypeScript;App;y;;y;y;y;TRUE;Organization;FALSE;;738;;90;;414612;;49,9
memorysafety/rav1d;;videolan/dav1d;C;Non-web lib;y;y;y;y,y;y;FALSE;Organization;FALSE;FALSE;619;677;68;90;12750965;11530193;17,1
jneem/nnnoiseless;;xiph/rnnoise;C;Non-web lib;y;n;y;y,y;y;FALSE;User;FALSE;FALSE;339;5486;18;1047;101691;388856;90,3
m-labs/artiq;;Same;C;System;y;;y;y;y;TRUE;Organization;TRUE;;513;;225;;3992940;;21,0
cooklang/cookcli;;Same;Swift;App;y;;y;y;y;TRUE;Organization;FALSE;;1225;;87;;871446;;56,3
neondatabase/appdotbuild-agent;;Same;Python;Tool;y;;y;y;y;TRUE;Organization;FALSE;;751;;113;;2575667;;22,8
tectonic-typesetting/tectonic;;Same;C,C++;System;y;;y;y;y;TRUE;Organization;FALSE;;4672;;194;;5930744;;27,2
spieglt/FlyingCarpet;;Same;Go;App;y;;y;m;y;TRUE;User;FALSE;;5018;;234;;295634;;50,9
stacked-git/stgit;;Same;Python;App;y;;y;y;y;TRUE;Organization;FALSE;;648;;71;;1643860;;58,9
noahbald/oxvg;;svg/svgo;JavaScript;Web lib;n;n;y;y,y;y;FALSE;User;FALSE;FALSE;523;22430;10;1444;1613750;495928;97,5
max-baz/wluma;;Same;C;Non-web lib;y;;y;y;y;TRUE;User;FALSE;;907;;41;;143357;;98,0
rustfs/rustfs;;minio/minio;Go;System;y;y;y;y,i;y;FALSE;Organization;FALSE;TRUE;24341;60637;1045;7357;13999575;8877933;98,3
ariebovenberg/whenever;;Same;Python;Non-web lib;y;;y;y;y;TRUE;User;FALSE;;2320;;33;;2281508;;41,2
jely2002/youtube-dl-gui;;Same;JavaScript;App;y;;y;y;y;TRUE;User;FALSE;;7951;;585;;696322;;37,4
typedb/typedb;;Same;Java;System;y;;y;i;y;TRUE;Organization;FALSE;;4275;;364;;6098498;;98,0
intentee/paddler;;Same;Go;System;y;;y;y;y;TRUE;Organization;FALSE;;1512;;83;;928338;;69,5
SeaDve/Kooha;;Same;Python;App;y;;y;y;y;TRUE;User;FALSE;;3317;;93;;218788;;96,2
brndnmtthws/dryoc;;jedisct1/libsodium;C;Non-web lib;y;y;y;y,y;y;FALSE;User;FALSE;FALSE;332;13581;19;1863;582529;5824187;100,0
kkoomen/vim-doge;;Same;TypeScript;App;y;;y;y;y;TRUE;User;FALSE;;1061;;53;;165475;;70,7
fosskers/aura;;Same;Haskell;App;y;;y;y;y;TRUE;User;FALSE;;1886;;121;;996894;;29,7
yuezk/GlobalProtect-openconnect;;Same;C++;App;y;;y;y;y;TRUE;User;FALSE;;2053;;234;;266270;;85,5
oreboot/oreboot;;coreboot/coreboot;C;System;y;;y;i;y;FALSE;Organization;FALSE;FALSE;1767;2648;114;608;1523680;127169482;96,0
